"Reporting starts","Reporting ends","Campaign name","Campaign delivery","Ad set budget","Ad set budget type","Attribution setting",Results,"Result indicator",Reach,Impressions,Frequency,"CPM (cost per 1,000 impressions) (USD)","Cost per results",Purchases,"Purchase ROAS (return on ad spend)","Amount spent (USD)",Ends
2025-11-12,2025-11-18,ES-转化-种草-产品系列-爆款-ASC,inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,ES-点击-种草-产品系列,inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,ES-转化-商品系列-蝴蝶结,inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,ES-转化-商品系列-大框,inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,ES-转化-商品系列-玳瑁,inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,ES-转化-FirmooDay,inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,TOF-ES-点击-地域-Eche,inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,TOF-ES-转化-地域-Eche,inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,TOF-ES-流量-地域-Eche,inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,ES-流量-商品-爆款,inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,ES-转化-用户诉求-ASC,inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,ES-转化-用户诉求-NU,inactive,100,Daily,-,,,0,0,0,0,,,,0,1970-01-01
2025-11-12,2025-11-18,"ES｜ABO｜Interest｜Female - Test",inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,"ES｜ABO｜Interest｜Female - Test1",inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,"ES｜ABO｜Interest｜Female - Test2",inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,"ES｜ABO｜Interest｜Female - Test3",inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,ES-点击-品宣-博主-兴趣,inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,ES-流量-种草-产品系列-ASC,inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,ES-转化-种草-产品系列-Birthstone-ASC,inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,ES-转化-种草-产品系列-Bow-ASC,inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,ES-流量-品宣-博主,inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,ES-转化-品宣-博主2-ASC,inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,ES-流量-成效-大促,inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,ES-转化-品宣-博主3-ASC,inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,通用眼镜-Traffic-CPC,inactive,5,Daily,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,Remarketing-Impression,inactive,5,Daily,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,ES｜CBO｜Interest｜Female,inactive,320,Daily,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,"ES｜CBO｜Interest｜Female - BF - 2",inactive,250,Daily,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,"ES｜CBO｜Interest｜Female - BF - 3",inactive,40,Daily,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,"ES｜CBO｜Interest｜Female - Music",inactive,50,Daily,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,"ES｜CBO｜Interest｜Female - Food",inactive,1,Daily,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,"ES｜CBO｜Interest｜Female - Football",inactive,50,Daily,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,"ES｜CBO｜Interest｜Female - Art",inactive,50,Daily,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,"ES｜TOF｜Lal｜Female | Email",inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,ES-流量-成效-再营销-促销,inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,ES｜BOF｜T6｜All,inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,"LSC | Interesting | Female",inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,"LSC | Retargeting | T1 | 20-50",inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,"CBO | ES | Interest | Testing",inactive,60,Daily,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,ES｜ABO｜Interest/Behavior｜Female,inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,"ES｜CBO｜Interest｜Female - BF",inactive,150,Daily,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,"ES｜CBO｜Interest｜Female - Home",inactive,30,Daily,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,"ES｜CBO｜Interest｜Female｜45-60 - Instruments",inactive,20,Daily,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,"ES｜CBO｜Interest｜Female｜45-60 -  Principle",inactive,1,Daily,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,"ES｜CBO｜Interest｜Female｜45-60 -  Handicraft",inactive,10,Daily,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,"ES｜CBO｜Interest｜Female｜45-60 -  Pets",inactive,10,Daily,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,"ES｜CBO｜Interest｜Female｜30-55 - Low-Income-Careers",inactive,20,Daily,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,"ES｜ABO｜Interest｜Female｜45-60 - Pets",inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,ES-流量-种草-产品-兴趣,inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,ES-流量-种草-产品-眼镜兴趣-种草,inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,ES-流量-促销-产品,inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
2025-11-12,2025-11-18,ES-转化-成效-视频,inactive,"Using ad set budget",0,-,,,0,0,0,0,,,,0,Ongoing
