"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad set name",Bid,"Bid type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting",Results,"Result indicator",Reach,Impressions,Frequency,"CPM (cost per 1,000 impressions) (USD)","Cost per results",Purchases,"Quality ranking","Engagement rate ranking","Conversion rate ranking","Purchase ROAS (return on ad spend)","Amount spent (USD)",Ends
2025-11-14,2025-11-20,CAREY,inactive,COLLECCION-CAREY,0,ABSOLUTE_OCPM,50,Daily,2025-11-18T03:49:16+0100,-,,,0,0,0,0,,,-,-,-,,0,Ongoing
2025-11-14,2025-11-20,CAREY,inactive,COLLECCION-CAREY,0,ABSOLUTE_OCPM,50,Daily,2025-11-18T03:49:16+0100,-,,,0,0,0,0,,,-,-,-,,0,Ongoing
2025-11-14,2025-11-20,CAREY,inactive,COLLECCION-CAREY,0,ABSOLUTE_OCPM,50,Daily,2025-11-18T03:49:16+0100,-,,,0,0,0,0,,,-,-,-,,0,Ongoing
2025-11-14,2025-11-20,无框,not_delivering,ES-转化-商品系列-无框,0,ABSOLUTE_OCPM,40,Daily,2025-09-26T07:23:21+0200,-,,,0,0,0,0,,,-,-,-,,0,Ongoing
2025-11-14,2025-11-20,豹纹,not_delivering,组3-豹纹,0,ABSOLUTE_OCPM,50,Daily,2025-06-26T07:46:47+0200,-,,,0,0,0,0,,,-,-,-,,0,Ongoing
2025-11-14,2025-11-20,BS2,inactive,商品系列-爆款2,0,ABSOLUTE_OCPM,50,Daily,2025-07-14T05:06:48+0200,-,,,0,0,0,0,,,-,-,-,,0,Ongoing
2025-11-14,2025-11-20,BW,not_delivering,豹纹系列-加购,0,ABSOLUTE_OCPM,60,Daily,2025-08-20T05:00:07+0200,-,,,0,0,0,0,,,-,-,-,,0,Ongoing
2025-11-14,2025-11-20,BS2,inactive,商品系列-爆款2,0,ABSOLUTE_OCPM,50,Daily,2025-07-14T05:06:48+0200,-,,,0,0,0,0,,,-,-,-,,0,Ongoing
2025-11-14,2025-11-20,BW,not_delivering,豹纹系列-加购,0,ABSOLUTE_OCPM,60,Daily,2025-08-20T05:00:07+0200,-,,,0,0,0,0,,,-,-,-,,0,Ongoing
2025-11-14,2025-11-20,ASC5,inactive,博主-ASC5,0,ABSOLUTE_OCPM,30,Daily,2025-10-22T04:40:22+0200,-,,,0,0,0,0,,,-,-,-,,0,Ongoing
2025-11-14,2025-11-20,ASC5,inactive,博主-ASC5,0,ABSOLUTE_OCPM,30,Daily,2025-10-22T04:40:22+0200,-,,,0,0,0,0,,,-,-,-,,0,Ongoing
2025-11-14,2025-11-20,BW,not_delivering,豹纹系列-加购,0,ABSOLUTE_OCPM,60,Daily,2025-08-20T05:00:07+0200,-,,,0,0,0,0,,,-,-,-,,0,Ongoing
